Novo;Status;Natureza;Area;Competencia;Instituicao;LogoInstituicao;Tematica;Curso;CH;Link;Modalidade;Nivel;Custo;Publico;Plataforma;Administrador;Objetivo;Imagem;Sigla;Ini-Inscr;Fim-Inscr;Ini-Disp;Fim-Disp;;
;EM BREVE;Extensão;DIRPA;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;PATENTES;Instruções de Preenchimento do Formulário de Resultado da Busca por Anterioridades;8;;Autoinstrucional;Avançado;Gratuito;Pesquisadores de PI | Servidores do INPI;Academia Virtual do INPI;cursos@inpi.gov.br;Apresentar as instruções e diretrizes para o correto preenchimento do formulário de resultado da busca por anterioridades de patentes.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/busca-form.png;PREENCHE_FORM;;;;;;
;EM BREVE;Extensão;BIBLI;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;PROPRIEDADE INTELECTUAL;Propriedade Intelectual para Bibliotecários;12;;Autoinstrucional;Iniciante;Gratuito;Bibliotecários | Profissionais da Informação;Academia Virtual do INPI;ead@inpi.gov.br;Apresentar os mecanismos de proteção intelectual, com ênfase no uso da PI como fonte de informação e no processamento técnico de materiais.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/bibli.png;BIBLI;;;;;;
;EM BREVE;Extensão;CGTEC;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;CONTRATOS DE TECNOLOGIA;Curso de Contratos de Tecnologia;12;;Autoinstrucional;Iniciante;Gratuito;Empreendedores | Gestores de PI;Academia Virtual do INPI;ead@inpi.gov.br;Apresentar uma visão geral sobre os contratos de transferência e licenciamento de tecnologia, abordando seus principais aspectos e cláusulas.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/contratos.png;CONTRATOS;;;;;;
;EM BREVE;Extensão;DIRMA;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;DESENHOS INDUSTRIAIS;Curso de Desenhos Industriais: Aspectos da Proteção;12;;Autoinstrucional;Iniciante;Gratuito;Designers | Criadores | Professores;Academia Virtual do INPI;ead@inpi.gov.br;Capacitar na identificação e proteção de desenhos industriais, apresentando noções sobre o que pode ser passível de registro e como realizar pedidos.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/di.png;DI_CURSO;;;;;;EM ANDAMENTO
;CONCLUÍDO;Extensão;CETEC;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PROPRIEDADE INTELECTUAL;Curso Geral de Propriedade Intelectual;75;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL101PBR#plus_DL101PBR;Com Tutoria;Iniciante;Gratuito;Público em Geral | Interessados em PI;Centro de eLearning da OMPI;ead@inpi.gov.br;Apresentar uma visão global dos mecanismos de proteção das criações intelectuais, enfocando o arcabouço legal brasileiro e as atribuições do INPI.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-101p-br.png;DL 101P BR;09/01/2025;02/02/2025;04/02/2025;04/04/2025;;
;CONCLUÍDO;Extensão;CETEC;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PROPRIEDADE INTELECTUAL;Curso Geral de Propriedade Intelectual;75;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL101PBR#plus_DL101PBR;Com Tutoria;Iniciante;Gratuito;Público em Geral | Interessados em PI;Centro de eLearning da OMPI;ead@inpi.gov.br;Apresentar uma visão global dos mecanismos de proteção das criações intelectuais, enfocando o arcabouço legal brasileiro e as atribuições do INPI.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-101p-br.png;DL 101P BR;08/04/2025;27/04/2025;29/04/2025;04/07/2025;;
;ABERTO;Extensão;CETEC;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PROPRIEDADE INTELECTUAL;Curso Geral de Propriedade Intelectual;75;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL101PBR#plus_DL101PBR;Com Tutoria;Iniciante;Gratuito;Público em Geral | Interessados em PI;Centro de eLearning da OMPI;ead@inpi.gov.br;Apresentar uma visão global dos mecanismos de proteção das criações intelectuais, enfocando o arcabouço legal brasileiro e as atribuições do INPI.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-101p-br.png;DL 101P BR;08/07/2025;27/07/2025;29/07/2025;23/09/2025;;
;EM BREVE;Extensão;CETEC;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PROPRIEDADE INTELECTUAL;Curso Geral de Propriedade Intelectual;75;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL101PBR#plus_DL101PBR;Com Tutoria;Iniciante;Gratuito;Público em Geral | Interessados em PI;Centro de eLearning da OMPI;ead@inpi.gov.br;Apresentar uma visão global dos mecanismos de proteção das criações intelectuais, enfocando o arcabouço legal brasileiro e as atribuições do INPI.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-101p-br.png;DL 101P BR;30/09/2025;12/10/2025;14/10/2025;12/12/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Patentes;150;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL301OPBR#plus_DL301OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Explicar os princípios avançados de patentes, o impacto econômico, a transferência de tecnologia e o uso estratégico de documentos de patentes.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-301op-br.png;DL 301OP BR;09/01/2025;31/03/2025;09/01/2025;31/03/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Patentes;150;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL301OPBR#plus_DL301OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Explicar os princípios avançados de patentes, o impacto econômico, a transferência de tecnologia e o uso estratégico de documentos de patentes.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-301op-br.png;DL 301OP BR;15/04/2025;30/06/2025;15/04/2025;30/06/2025;;
