Unidade;Sigla;Competencia
Presidência;PR;"I - representar o INPI;
II - aprovar a programação orçamentária do INPI, e encaminhá-la aos órgãos competentes;
III - enviar a prestação de contas ao Tribunal de Contas da União;
IV - pronunciar-se quanto à conveniência de assinatura, ratificação e denúncia de convenções, tratados, convênios e acordos sobre propriedade industrial;
V - submeter a tabela de retribuições dos serviços prestados pelo INPI, relativos à propriedade industrial, à aprovação do Ministério do Desenvolvimento, Indústria, Comércio e Serviços;
VI - estabelecer os valores referentes aos serviços de registros de programas de computador da tabela de retribuições dos serviços prestados pelo INPI, conforme o disposto na Lei nº 9.609, de 1998, e no Decreto nº 2.556, de 20 de abril de 1998;
VII - decidir recursos e processos administrativos que alterem decisões primariamente tomadas pelos Diretores e pelos Coordenadores-Gerais diretamente subordinados à Presidência do INPI, na forma da legislação;
VIII - zelar pela credibilidade interna e externa do INPI; e
IX - exercer a direção superior e o comando hierárquico no âmbito do INPI."
Gabinete;GAB;"I - assistir o Presidente do INPI em sua representação política e social;
II - ocupar-se das relações públicas e do preparo e despacho do expediente da Presidência;
III - efetuar o acompanhamento da tramitação dos atos legais de interesse do INPI;
IV - providenciar o atendimento às consultas e aos requerimentos do Ministério do Desenvolvimento, Indústria, Comércio e Serviços;
V - providenciar a publicação oficial e a divulgação das matérias relacionadas à área de atuação do INPI;
VI - fomentar e articular o diálogo entre os diferentes segmentos da sociedade civil e o INPI, inclusive por meio da articulação com suas representações institucionais; e
VII - exercer outras competências que lhe forem cometidas pelo Presidente do INPI."
Diretoria Executiva;DIREX;"I - coordenar, consolidar e submeter ao Presidente do INPI o plano de ação global da autarquia, conforme as diretrizes estabelecidas pelo Ministério do Desenvolvimento, Indústria, Comércio e Serviços;
II - supervisionar e coordenar os projetos e as atividades dos órgãos integrantes da estrutura do INPI;
III - supervisionar e coordenar a articulação dos órgãos do INPI com os órgãos centrais dos sistemas afetos à área de competência da Diretoria-Executiva;
IV - assistir o Presidente do INPI na definição e coordenação da implementação das diretrizes e prioridades institucionais;
V - assistir o Presidente do INPI na coordenação dos processos de planejamento, monitoramento, avaliação e revisão da estratégia do Instituto;
VI - supervisionar e coordenar as atividades relacionadas aos sistemas federais de planejamento, de organização e de inovação institucional no âmbito do INPI;
VII - fornecer subsídios ao Presidente do INPI para decisão dos recursos e processos administrativos de nulidade, interpostos na forma da legislação vigente de propriedade industrial;
VIII - supervisionar e coordenar as atividades relacionadas à promoção pública da propriedade industrial, no âmbito nacional, incluindo a gestão das unidades regionais do INPI;
IX - supervisionar e coordenar as atividades que auxiliem a atuação institucional do INPI, no âmbito internacional, em articulação com Ministério de Desenvolvimento, Indústria, Comércio e Serviços;
X - supervisionar e coordenar as atividades relacionadas à produção de estatísticas oficiais de propriedade industrial do INPI, elaboração de estudos e relatórios em economia da propriedade industrial, geração de inteligência de mercado e gestão da política de preços do Instituto; e
XI - supervisionar e coordenar as atividades relacionadas ao sistema de gestão da qualidade do INPI."
Coordenação-Geral de Planejamento e Gestão Estratégica;CGPE;"I - orientar e coordenar os processos de planejamento institucional e de contratualização da gestão do INPI;
II - orientar e coordenar o gerenciamento de projetos, programas e portfólio do INPI;
III - orientar e coordenar o processo de avaliação de desempenho institucional do INPI;
IV - orientar e coordenar o processo de modelagem da estrutura organizacional do INPI; e
V - consolidar e elaborar o Relatório de Gestão do INPI para Prestação de Contas ao Tribunal de Contas da União, com a orientação da Auditoria Interna."
Divisão de Planejamento e Desempenho;DPLAD;"I - estruturar e conduzir a implementação dos processos de elaboração, execução, monitoramento e avaliação do planejamento organizacional, incluindo a participação do INPI no âmbito do Plano Plurianual do Governo Federal;
II - estruturar e conduzir a implementação do processo de contratualização de resultados do INPI;
III - estruturar e conduzir a implementação do processo de avaliação de desempenho do INPI, em particular a definição, o monitoramento e a avaliação de resultados de indicadores e metas de desempenho institucional;
IV - estruturar e conduzir a implementação do processo de modelagem da estrutura organizacional do INPI;
V - estruturar e conduzir a implementação do processo de elaboração do Relatório de Gestão do INPI para Prestação de Contas ao Tribunal de Contas da União, com a orientação da Auditoria Interna;
VI - definir as metodologias e as ferramentas de planejamento, avaliação de desempenho e modelagem da estrutura organizacional do INPI; e
VII - apoiar a divulgação dos resultados institucionais, em colaboração com a Coordenação de Comunicação Social do INPI."
Divisão de Gerenciamento de Projetos;DIGEP;"I - estruturar e conduzir a implementação dos processos de gerenciamento de projetos, programas e portfólio do INPI;
II - gerenciar projetos e programas designados pela Presidência do INPI;
III - definir as metodologias e as ferramentas de gerenciamento de projetos, programas e portfólio do INPI;
IV - apoiar a capacitação de servidores em gerenciamento de projetos, em colaboração com a Coordenação-Geral de Recursos Humanos do INPI; e
V - apoiar a divulgação de informações sobre os projetos do INPI, em colaboração com a Coordenação de Comunicação Social do INPI."
Coordenação-Geral da Qualidade;CQUAL;"I - coordenar a implantação e manutenção do sistema de gestão da qualidade do INPI;
II - propor políticas, diretrizes, metodologias e ferramentas para aprimoramento do sistema de gestão da qualidade;
III - propor políticas, diretrizes, metodologias e ferramentas para o aprimoramento dos processos de controle de qualidade dos exames de direitos de propriedade industrial;
IV - promover e difundir a cultura da gestão da qualidade e auxiliar na comunicação sobre o sistema de gestão da qualidade e seus processos;
V - coordenar a implantação e manutenção do sistema de padronização de documentos do sistema de gestão da qualidade;
VI - coordenar e assessorar tecnicamente a implantação do modelo de gestão por processos e da gestão de riscos no INPI;
VII - orientar e coordenar de maneira integrada as ações de gerenciamento e automação de processos do INPI atuando como Escritório de Processos;
VIII - coordenar o monitoramento das experiências dos usuários, das pesquisas de percepção e avaliações da qualidade dos serviços do INPI no âmbito do sistema de gestão da qualidade; e
IX - definir e revisar a Cadeia de Valor dos processos do INPI."
Divisão de Gestão de Riscos;DIGER;"I - apoiar tecnicamente e operacionalmente o desenvolvimento e implantação da política de gestão de riscos do INPI;
II - propor metodologias, procedimentos e ferramentas para o aprimoramento da gestão de riscos no âmbito do sistema de gestão da qualidade;
III - promover a integração dos agentes responsáveis pela gestão de riscos e pelos controles internos;
IV - apoiar tecnicamente o desenvolvimento e a implantação de critérios e procedimentos para a identificação dos riscos nos processos; e
V - assessorar tecnicamente as unidades na gestão dos riscos e dos controles internos, oferecendo suporte necessário para sua efetiva implementação."
Divisão de Escritório de Processos e Qualidade;DIGEQ;"I - apoiar tecnicamente e operacionalmente o desenvolvimento, a implantação e a medição do desempenho dos processos de controle de qualidade dos exames de direitos de propriedade industrial;
II - propor metodologias, procedimentos e ferramentas para o aprimoramento da gestão dos processos e do sistema de padronização de documentos no âmbito do sistema de gestão da qualidade;
III - assessorar técnica e metodologicamente no mapeamento, na análise e no redesenho dos processos de negócio pelas unidades; na implementação de melhorias; no gerenciamento e controle de processos; e na medição de desempenho, oferecendo suporte necessário para sua efetiva implementação;
IV - apoiar o planejamento e o gerenciamento de projetos de melhoria de processos; e
V - promover a integração dos agentes responsáveis pela gestão de processos e da qualidade."
Coordenação-Geral de Economia e Inovação;CGEI;"I - constituir-se em unidade de Inteligência Estratégica voltada para a produção de estudos estratégicos baseados em informações de ativos de propriedade industrial, integrando as suas perspectivas econômica, tecnológica e comercial;
II - coordenar estudos sobre o impacto e o valor da inovação impulsionada pela PI sobre o desenvolvimento nacional e a competitividade de empresas e setores produtivos no País e em espaços geográficos abrangidos por acordos internacionais de interesse;
III - coordenar o desenvolvimento de estudos, metodologias e ferramentas para mensurar o impacto das ações do INPI sobre a economia como mecanismo de compreensão do valor econômico dos direitos de PI no Brasil;
IV - planejar e coordenar a produção das estatísticas oficiais de propriedade industrial do INPI;
V - coordenar as atividades de gestão e acompanhamento da Política de Preços do INPI;
VI - coordenar e definir as formas de acesso ao banco de dados estatísticos do INPI voltado para estudos e pesquisas em propriedade industrial;
VII - coordenar atividades de inteligência de mercado para subsidiar o processo decisório no nível estratégico e o desenvolvimento do potencial competitivo do INPI;
VIII - coordenar trabalhos técnicos sobre o impacto econômico dos projetos de lei que objetivem alterações nas normas que regulam a propriedade intelectual no País, visando ao posicionamento oficial do INPI;
IX - coordenar o levantamento de dados para subsidiar a representação do INPI nos foros interinstitucionais que discutam políticas de desenvolvimento industrial, inovação e propriedade intelectual e aspectos metodológicos relativos ao tratamento de dados estatísticos; e
X - coordenar a elaboração e execução de atividades de Cooperação Técnica interna e Acordos de Cooperação Técnica nacionais e internacionais quando relacionadas ao acesso ao banco de dados estatísticos do INPI e ao desenvolvimento de estudos e projetos de inteligência estratégica em PI e inovação."
