Conhecimento;Especificação
Visão de Futuro;Compreender de maneira integrada as tendências sociais, políticas, tecnológicas e econômicas nos cenários local, regional, nacional e internacional, que possam impactar os processos decisórios de planejamento estratégico e gestão de políticas públicas.
Visão de Futuro;Reconhecer os diversos fatores técnicos e políticos, internos e externos, que devem ser considerados no processo de planejamento de atividades organizacionais.
Visão de Futuro;Conhecer técnicas e metodologias de planejamento e análise de cenários, especialmente no setor público.
Visão de Futuro;Compreender a posição e as necessidades da organização frente a contextos diversos.
Inovação e Mudança;Conhecer técnicas e metodologias de promoção da inovação no setor público, como práticas de triagem, experimentação, ideação e prototipagem de inovações na organização.
Inovação e Mudança;Discutir políticas, métodos e abordagens para incentivo à criatividade e gestão da inovação no contexto organizacional.
Inovação e Mudança;Distinguir oportunidades de uso de tecnologias digitais e ferramentas de análise de dados para a melhoria de processos internos e prestação de serviços públicos focados nas necessidades dos cidadãos.
Inovação e Mudança;Manter-se atualizado com relação aos desenvolvimentos tecnológicos que podem atender às necessidades específicas de programas organizacionais ou governamentais.
Inovação e Mudança;Identificar conceitos para novos programas, produtos ou serviços para o contexto do serviço público.
Inovação e Mudança;Identificar relações entre programas, projetos ou processos organizacionais dentro e fora da organização em busca de novas alternativas e formas de trabalho.
Comunicação Estratégica;Identificar estratégias de comunicação corporativa que apoiam os objetivos organizacionais e fortalecem a imagem e a reputação da organização e do Governo.
Comunicação Estratégica;Compreender o papel, a função e os posicionamentos da organização no âmbito do serviço público.
Comunicação Estratégica;Identificar saberes e técnicas destinados a dar voz aos interlocutores para apreender de forma empática seus interesses e necessidades.
Comunicação Estratégica;Identificar as melhores formas de apresentação de mensagens, dados e informações, adaptadas ao contexto e ao público-alvo.
Comunicação Estratégica;Identificar estratégias de adequação da narrativa ao público e à situação para comunicar as informações mais relevantes para a organização.
Geração de Valor para o Usuário;Reconhecer a centralidade da  participação social na formulação e implantação de políticas e de desenvolvimento de produtos e serviços para os cidadãos.
Geração de Valor para o Usuário;Compreender a função do serviço público, e o conceito de valor público.
Geração de Valor para o Usuário;Demonstrar conhecimento acerca dos seus usuários, dos serviços prestados e das comunidades e mercados que são afetados pelas atividades de sua organização e pelo setor público em geral.
Geração de Valor para o Usuário;Reconhecer a diversidade dos usuários finais e considera suas necessidades específicas no desenvolvimento de políticas e serviços públicos.
Geração de Valor para o Usuário;Identificar abordagens para a prestação de serviços que melhor atendam às necessidades específicas dos usuários e aos interesses organizacionais.
Gestão para Resultados;Conhecer conteúdos e métodos associados à gestão e sua especificidade no setor público, e à constante melhoria dos processos de trabalho.
Gestão para Resultados;Dominar os conhecimentos inerentes ao funcionamento dos arranjos federativos da gestão de políticas públicas.
Gestão para Resultados;Compreender os princípios, procedimentos, requisitos, regulamentos e políticas que se relacionam à sua área de atuação.
Gestão para Resultados;Conhecer procedimentos, instrumentos e rotinas inerentes à gestão orçamentária e financeira no serviço público.
Gestão para Resultados;Possuir expertise em assuntos técnicos que compõem a agenda da organização.
Gestão para Resultados;Possuir conhecimento técnico sobre planejamento, implementação, monitoramento e avaliação de ações, projetos e programas da organização.
Gestão de Crises;Compreender a extensão dos impactos que as mudanças no cenário podem causar nas estruturas governamentais, na organização, na correlação de forças entre os atores, e nas estratégias políticas formuladas.
Gestão de Crises;Considerar fatores culturais, sociais, econômicos, históricos, regionais e políticos relevantes na concepção de abordagens para a solução de problemas.
Gestão de Crises;Identificar obstáculos, erros e problemas na consecução de estratégias e atividades organizacionais, de forma a antecipar e mitigar os riscos decorrentes.
Gestão de Crises;Reconhecer as principais normas, regulamentos e métodos relativos ao levantamento, mapeamento, análise e gestão de riscos no serviço público.
Gestão de Crises;Reconhecer diferentes níveis de abordagem e condutas apropriadas para situações de crise.
Gestão de Crises;Dispor de saberes e domínio sobre ferramentas e estratégias passíveis de serem tempestivamente mobilizadas em situações de crise.
Autoconhecimento e Desenvolvimento Pessoal;Identificar seu propósito e o que lhe impulsiona e motiva na carreira pública.
Autoconhecimento e Desenvolvimento Pessoal;Compreender quais são as competências fundamentais para o exercício da liderança.
