Fundamento;Conceito;Tema;Subtema
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Requisitos das Partes Interessadas;Definição das partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Requisitos das Partes Interessadas;Identificação das necessidades e expectativas das partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Requisitos das Partes Interessadas;Definição dos requisitos das partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Estabelecimento dos canais de relacionamento
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Tratamento das manifestações
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Comunicação com as partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Avaliação da Satisfação das Partes Interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Mercado;Análise de mercado
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Mercado;Desenvolvimento de mercado
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Mercado;Gestão da marca
