Unidade;Sigla;Conhecimento;Relevancia (Score);Ordem;Tipo_de_Conhecimento;Grau_Conhecimento_Instalado
Presidência;PR;Administração Pública > Concessão de Serviços Públicos > Programas de Computador;34.52%;1;Apoio;1
Presidência;PR;Administração Pública > Experiência e Satisfação do Usuário > Avaliação da Qualidade de Serviços;28.82%;2;Apoio;1
Presidência;PR;Administração Pública > Concessão de Serviços Públicos > Transferência de Tecnologia;25.36%;3;Apoio;1
Presidência;PR;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;24.22%;4;Apoio;1
Presidência;PR;Ciência Política > Estado e Governo > Lei da Propriedade Industrial;23.58%;5;Crítico;1
Gabinete;GAB;Direito > Teoria do Direito > Distintividade do Sinal;28.05%;1;Apoio;1
Gabinete;GAB;Administração Pública > Experiência e Satisfação do Usuário > Experiência do Cliente;27.17%;2;Apoio;1
Gabinete;GAB;Administração Pública > Experiência e Satisfação do Usuário > Avaliação da Qualidade de Serviços;24.80%;3;Apoio;1
Gabinete;GAB;Administração Pública > Experiência e Satisfação do Usuário > Atendimento ao Público;21.64%;4;Apoio;1
Gabinete;GAB;Administração Pública > Gestão de Pessoas > Segurança e Saúde do Trabalho;19.45%;5;Essencial;1
Diretoria Executiva;DIREX;Administração Pública > Experiência e Satisfação do Usuário > Avaliação da Qualidade de Serviços;31.48%;1;Apoio;1
Diretoria Executiva;DIREX;Administração Pública > Atendimento ao Público > Propriedade Industrial;25.86%;2;Crítico;1
Diretoria Executiva;DIREX;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;25.19%;3;Crítico;1
Diretoria Executiva;DIREX;Administração > Administração de Empresas > Propriedade Industrial e Inovação;24.44%;4;Crítico;1
Diretoria Executiva;DIREX;Ciência Política > Estado e Governo > Lei da Propriedade Industrial;24.41%;5;Crítico;1
Coordenação-Geral de Planejamento e Gestão Estratégica;CGPE;Administração Pública > Estratégia, Projetos e Processos > Modelagem de Estrutura Organizacional;62.51%;1;Apoio;3
Coordenação-Geral de Planejamento e Gestão Estratégica;CGPE;Administração Pública > Estratégia, Projetos e Processos > Formulação e Gerenciamento da Estratégia;52.13%;2;Essencial;2
Coordenação-Geral de Planejamento e Gestão Estratégica;CGPE;Administração Pública > Estratégia, Projetos e Processos > Planejamento e Gestão Organizacional;42.24%;3;Essencial;3
Coordenação-Geral de Planejamento e Gestão Estratégica;CGPE;Administração Pública > Estratégia, Projetos e Processos > Gestão de Processos;36.76%;4;Essencial;2
Coordenação-Geral de Planejamento e Gestão Estratégica;CGPE;Administração Pública > Estratégia, Projetos e Processos > Gestão de Projetos;36.73%;5;Essencial;2
Divisão de Planejamento e Desempenho;DPLAD;Administração Pública > Avaliação de Desempenho no Setor Público > Gerenciamento do Desempenho de Processos;39.37%;1;Apoio;1
Divisão de Planejamento e Desempenho;DPLAD;Administração Pública > Experiência e Satisfação do Usuário > Avaliação da Qualidade de Serviços;29.23%;2;Apoio;1
Divisão de Planejamento e Desempenho;DPLAD;Administração Pública > Estratégia, Projetos e Processos > Modelagem de Estrutura Organizacional;25.57%;3;Apoio;1
Divisão de Planejamento e Desempenho;DPLAD;Direito > Teoria do Direito > Distintividade do Sinal;25.08%;4;Apoio;1
Divisão de Planejamento e Desempenho;DPLAD;Administração Pública > Experiência e Satisfação do Usuário > Experiência do Cliente;24.30%;5;Apoio;1
Divisão de Gerenciamento de Projetos;DIGEP;Ciência Política > Uso de evidências em políticas públicas > Coordenação e Colaboração em Rede;29.68%;1;Apoio;1
Divisão de Gerenciamento de Projetos;DIGEP;Administração Pública > Estratégia, Projetos e Processos > Gestão de Projetos;28.28%;2;Essencial;1
Divisão de Gerenciamento de Projetos;DIGEP;Administração Pública > Estratégia, Projetos e Processos > Técnicas de Gerência do Tempo de Trabalho;25.20%;3;Essencial;1
Divisão de Gerenciamento de Projetos;DIGEP;Administração Pública > Concessão de Serviços Públicos > Programas de Computador;25.16%;4;Apoio;1
Divisão de Gerenciamento de Projetos;DIGEP;Administração Pública > Estratégia, Projetos e Processos > Gestão de Projetos e Indicadores;24.42%;5;Essencial;1
Coordenação-Geral da Qualidade;CQUAL;Administração Pública > Estratégia, Projetos e Processos > Planos de Amostragem e Procedimentos na Inspeção de Atributos;39.20%;1;Apoio;3
Coordenação-Geral da Qualidade;CQUAL;Administração Pública > Experiência e Satisfação do Usuário > Avaliação da Qualidade de Serviços;38.06%;2;Apoio;1
Coordenação-Geral da Qualidade;CQUAL;Administração Pública > Estratégia, Projetos e Processos > Gestão de Processos;36.43%;3;Essencial;1
Coordenação-Geral da Qualidade;CQUAL;Administração Pública > Estratégia, Projetos e Processos > Gestão de Projetos e Indicadores;30.63%;4;Essencial;3
Coordenação-Geral da Qualidade;CQUAL;Administração Pública > Estratégia, Projetos e Processos > Gestão de Projetos;30.25%;5;Essencial;1
Divisão de Gestão de Riscos;DIGER;Administração Pública > Governança e Gestão de Riscos > Gestão de Riscos;55.97%;1;Essencial;1
Divisão de Gestão de Riscos;DIGER;Administração Pública > Auditoria > Gestão de Riscos;44.41%;2;Essencial;1
